longitude,latitude,OBJECTID,market_settlement_name,product_description,secondary_editor,editor,other_market_type_goods,market_type_goods,source,timestamp,market_name,market_days_monday,market_days_tuesday,market_days_wednesday,market_days_thursday,market_days_friday,market_days_saturday,market_days_sunday,total_market_days,wardcode,id,lat,lon
8.84641,6.90147,110762,Wuese,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Wuese Market,,,,,,,,,BNSTSE10,110762,6.9,8.85
9.36442,6.87834,110763,Vandegh,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Vandegh Market,,,,,,,,,BNSWDP06,110763,6.88,9.36
9.51777,7.01147,110764,Ngenev II,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Ngenev II Market,,,,,,,,,BNSWDP05,110764,7.01,9.52
9.53465,7.05229,110765,Hyembe Tomataan,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Hyembe Tomataan Market,,,,,,,,,BNSKAL08,110765,7.05,9.53
9.03782,7.80319,110766,Mbanyager II,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbanyager II Market,,,,,,,,,BNSGBG07,110766,7.8,9.04
9.1674,7.68577,110767,Mbayam I,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbayam I Market,,,,,,,,,BNSGBG07,110767,7.69,9.17
9.21054,7.73244,110768,Yangen,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Yangen Market,,,,,,,,,BNSGBG02,110768,7.73,9.21
9.22319,7.70125,110769,Mbakulak I,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbakulak I Market,,,,,,,,,BNSGBG09,110769,7.7,9.22
9.25767,7.69979,110770,Mbakande,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbakande Market,,,,,,,,,BNSGBG09,110770,7.7,9.26
9.34213,7.52894,110771,Mbakuugh,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbakuugh Market,,,,,,,,,BNSGBG03,110771,7.53,9.34
9.35784,7.79227,110772,Mbaakenawe I,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbaakenawe I Market,,,,,,,,,BNSGBG08,110772,7.79,9.36
9.44849,7.52741,110773,Ruamnyam,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Ruamnyam Market,,,,,,,,,BNSGBG01,110773,7.53,9.45
9.47024,7.60056,110774,Mbamondo,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbamondo Market,,,,,,,,,BNSGBG03,110774,7.6,9.47
9.50881,7.54735,110775,Amakwa,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Amakwa Market,,,,,,,,,BNSUKM05,110775,7.55,9.51
8.31791,7.09047,110776,Igwe,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Igwe Market,,,,,,,,,BNSBRT08,110776,7.09,8.32
